event,nps_bucket,total_responses,matches,mismatches,mismatch_rate
2020 Comedy Jam,Detractor,43,34,9,21%
2020 Comedy Jam,Passive,34,31,3,9%
2020 Comedy Jam,Promoter,123,116,7,6%
2021 J. Cole W/ 21 Savage,Detractor,94,80,14,15%
2021 J. Cole W/ 21 Savage,Passive,29,23,6,21%
2021 J. Cole W/ 21 Savage,Promoter,100,95,5,5%
2021 Marc Anthony,Detractor,50,36,14,28%
2021 Marc Anthony,Passive,46,36,10,22%
2021 Marc Anthony,Promoter,212,193,19,9%
2021 NBA Playoffs - Round 1 - Home Game A,Detractor,36,31,5,14%
2021 NBA Playoffs - Round 1 - Home Game A,Passive,52,47,5,10%
2021 NBA Playoffs - Round 1 - Home Game A,Promoter,192,186,6,3%
2021 NBA Playoffs - Round 1 - Home Game B,Detractor,60,48,12,20%
2021 NBA Playoffs - Round 1 - Home Game B,Passive,50,45,5,10%
2021 NBA Playoffs - Round 1 - Home Game B,Promoter,297,290,7,2%
2021 NBA Playoffs - Round 1 - Home Game C,Detractor,28,20,8,29%
2021 NBA Playoffs - Round 1 - Home Game C,Passive,42,38,4,10%
2021 NBA Playoffs - Round 1 - Home Game C,Promoter,265,255,10,4%
2021 NBA Playoffs - Round 2 - Home Game A,Detractor,27,25,2,7%
2021 NBA Playoffs - Round 2 - Home Game A,Passive,44,35,9,20%
2021 NBA Playoffs - Round 2 - Home Game A,Promoter,289,279,10,3%
2021 NBA Playoffs - Round 2 - Home Game B,Detractor,22,19,3,14%
2021 NBA Playoffs - Round 2 - Home Game B,Passive,38,35,3,8%
2021 NBA Playoffs - Round 2 - Home Game B,Promoter,232,225,7,3%
2021 NBA Playoffs - Round 2 - Home Game C,Detractor,19,15,4,21%
2021 NBA Playoffs - Round 2 - Home Game C,Passive,29,28,1,3%
2021 NBA Playoffs - Round 2 - Home Game C,Promoter,231,219,12,5%
2021 NBA Playoffs - Round 2 - Home Game D,Detractor,29,25,4,14%
2021 NBA Playoffs - Round 2 - Home Game D,Passive,31,26,5,16%
2021 NBA Playoffs - Round 2 - Home Game D,Promoter,194,187,7,4%
2021 NBA Playoffs - Round 4 - Home Game B,Detractor,2,1,1,50%
2021 NBA Playoffs - Round 4 - Home Game B,Passive,1,1,0,0%
2021 NBA Playoffs - Round 4 - Home Game B,Promoter,10,9,1,10%
2022 BROOKLYN COLLEGE COMMENCEMENT,Detractor,52,42,10,19%
2022 BROOKLYN COLLEGE COMMENCEMENT,Passive,37,31,6,16%
2022 BROOKLYN COLLEGE COMMENCEMENT,Promoter,120,109,11,9%
2022 Basketball Hall of Fame Invitational,Detractor,21,18,3,14%
2022 Basketball Hall of Fame Invitational,Passive,22,20,2,9%
2022 Basketball Hall of Fame Invitational,Promoter,75,74,1,1%
2022 New York Life ACC Men's Basketball Tournament,Detractor,74,61,13,18%
2022 New York Life ACC Men's Basketball Tournament,Passive,85,77,8,9%
2022 New York Life ACC Men's Basketball Tournament,Promoter,270,261,9,3%
2022 PSAL Championship,Detractor,1,1,0,0%
2022 PSAL Championship,Promoter,4,4,0,0%
2022 Vivid Seats presents Empire Classic,Detractor,11,8,3,27%
2022 Vivid Seats presents Empire Classic,Passive,9,8,1,11%
2022 Vivid Seats presents Empire Classic,Promoter,37,36,1,3%
2022 Vivid Seats presents Legends Classic,Detractor,35,31,4,11%
2022 Vivid Seats presents Legends Classic,Passive,23,21,2,9%
2022 Vivid Seats presents Legends Classic,Promoter,50,46,4,8%
2023 38 At The Garden,Passive,3,3,0,0%
2023 38 At The Garden,Promoter,14,14,0,0%
2023 50 Cent,Detractor,471,387,84,18%
2023 50 Cent,Passive,177,153,24,14%
2023 50 Cent,Promoter,738,705,33,4%
2023 A-10 Men's Basketball Championship - Finals (VCU vs. Dayton),Detractor,4,3,1,25%
2023 A-10 Men's Basketball Championship - Finals (VCU vs. Dayton),Passive,6,5,1,17%
2023 A-10 Men's Basketball Championship - Finals (VCU vs. Dayton),Promoter,26,23,3,12%
"2023 A-10 Men's Basketball Championship - Semifinals (VCU vs. Saint Louis,Dayton vs. Fordham)",Detractor,23,18,5,22%
